block,plot,treatment,severity
B1,P01,bio,0.36442250126249015
B2,P02,chemical,0.11016218586083085
B3,P03,control,0.7627135667481199
B4,P04,bio,0.5980429161583857
B5,P05,chemical,0.15178495734762626
B6,P06,control,0.6738771664447019
B1,P07,bio,0.4269658290603592
B2,P08,chemical,0.40505274868347874
B3,P09,control,0.6438671877468511
B4,P10,bio,0.7079232719301042
B5,P11,chemical,0.30587740055551016
B6,P12,control,0.6033347813520638
B1,P13,bio,0.18126075670572644
B2,P14,chemical,0.4021113521487157
B3,P15,control,0.4676110747956915
B4,P16,bio,0.37518097152145546
B5,P17,chemical,0.1968307503924377
B6,P18,control,0.8422026973927237
B1,P19,bio,0.4331141388330775
B2,P20,chemical,0.3261659767419469
B3,P21,control,0.6279991072010594
B4,P22,bio,0.3677092723109988
B5,P23,chemical,0.32495914886667754
B6,P24,control,0.8799971982577985
B1,P25,bio,0.20636092940945472
B2,P26,chemical,0.3791782133860485
B3,P27,control,0.416025526215138
B4,P28,bio,0.49451572699726415
B5,P29,chemical,0.5285564530481128
B6,P30,control,0.8284553614552022
B1,P31,bio,0.5374113851729393
B2,P32,chemical,0.4114224109905721
B3,P33,control,0.5933354842926467
B4,P34,bio,0.4290199315315654
B5,P35,chemical,0.24775543971240174
B6,P36,control,0.671833714894896
B1,P37,bio,0.540793628709495
B2,P38,chemical,0.1748046504887848
B3,P39,control,0.6085072892277036
B4,P40,bio,0.44167491241046825
B5,P41,chemical,0.2668795301678886
B6,P42,control,0.6378438419212413
B1,P43,bio,0.403988405870896
B2,P44,chemical,0.1992943577814663
B3,P45,control,0.6909118414236135
B4,P46,bio,0.6437135816974523
B5,P47,chemical,0.34858816930457803
B6,P48,control,0.7579916219650266
B1,P49,bio,0.3760425172630022
B2,P50,chemical,0.4123415520119919
B3,P51,control,0.7513949576910649
B4,P52,bio,0.32201335060347336
B5,P53,chemical,0.27689393631530096
B6,P54,control,0.5906993621772767
B1,P55,bio,0.6348869315206976
B2,P56,chemical,0.25508476604149494
B3,P57,control,0.7842828640426283
B4,P58,bio,0.4617670113528808
B5,P59,chemical,0.4358915250686965
B6,P60,control,0.5593781500298391
