block,plot,treatment,diseased,healthy,total
B1,P01,bio,9,11,20
B2,P02,chemical,2,18,20
B3,P03,control,7,13,20
B4,P04,bio,7,13,20
B5,P05,chemical,3,17,20
B6,P06,control,8,12,20
B1,P07,bio,4,16,20
B2,P08,chemical,2,18,20
B3,P09,control,8,12,20
B4,P10,bio,5,15,20
B5,P11,chemical,3,17,20
B6,P12,control,8,12,20
B1,P13,bio,11,9,20
B2,P14,chemical,9,11,20
B3,P15,control,10,10,20
B4,P16,bio,3,17,20
B5,P17,chemical,3,17,20
B6,P18,control,10,10,20
B1,P19,bio,4,16,20
B2,P20,chemical,1,19,20
B3,P21,control,7,13,20
B4,P22,bio,6,14,20
B5,P23,chemical,5,15,20
B6,P24,control,9,11,20
B1,P25,bio,4,16,20
B2,P26,chemical,2,18,20
B3,P27,control,8,12,20
B4,P28,bio,3,17,20
B5,P29,chemical,1,19,20
B6,P30,control,11,9,20
B1,P31,bio,4,16,20
B2,P32,chemical,3,17,20
B3,P33,control,8,12,20
B4,P34,bio,2,18,20
B5,P35,chemical,3,17,20
B6,P36,control,7,13,20
B1,P37,bio,4,16,20
B2,P38,chemical,6,14,20
B3,P39,control,9,11,20
B4,P40,bio,4,16,20
B5,P41,chemical,0,20,20
B6,P42,control,8,12,20
B1,P43,bio,3,17,20
B2,P44,chemical,2,18,20
B3,P45,control,5,15,20
B4,P46,bio,8,12,20
B5,P47,chemical,3,17,20
B6,P48,control,8,12,20
B1,P49,bio,5,15,20
B2,P50,chemical,4,16,20
B3,P51,control,14,6,20
B4,P52,bio,7,13,20
B5,P53,chemical,3,17,20
B6,P54,control,10,10,20
B1,P55,bio,6,14,20
B2,P56,chemical,4,16,20
B3,P57,control,5,15,20
B4,P58,bio,6,14,20
B5,P59,chemical,6,14,20
B6,P60,control,8,12,20
