plot,treatment,time,count
P01,bio,0,7
P01,bio,1,2
P01,bio,2,0
P01,bio,3,3
P02,chemical,0,3
P02,chemical,1,4
P02,chemical,2,0
P02,chemical,3,4
P03,control,0,2
P03,control,1,2
P03,control,2,18
P03,control,3,4
P04,bio,0,13
P04,bio,1,0
P04,bio,2,0
P04,bio,3,4
P05,chemical,0,0
P05,chemical,1,0
P05,chemical,2,1
P05,chemical,3,0
P06,control,0,0
P06,control,1,1
P06,control,2,2
P06,control,3,1
P07,bio,0,7
P07,bio,1,3
P07,bio,2,0
P07,bio,3,1
P08,chemical,0,4
P08,chemical,1,3
P08,chemical,2,7
P08,chemical,3,2
P09,control,0,0
P09,control,1,1
P09,control,2,0
P09,control,3,4
P10,bio,0,12
P10,bio,1,4
P10,bio,2,9
P10,bio,3,4
P11,chemical,0,1
P11,chemical,1,0
P11,chemical,2,0
P11,chemical,3,1
P12,control,0,0
P12,control,1,7
P12,control,2,0
P12,control,3,3
P13,bio,0,0
P13,bio,1,8
P13,bio,2,2
P13,bio,3,5
P14,chemical,0,7
P14,chemical,1,8
P14,chemical,2,2
P14,chemical,3,0
P15,control,0,0
P15,control,1,11
P15,control,2,7
P15,control,3,12
P16,bio,0,0
P16,bio,1,6
P16,bio,2,2
P16,bio,3,1
P17,chemical,0,1
P17,chemical,1,8
P17,chemical,2,0
P17,chemical,3,0
P18,control,0,2
P18,control,1,4
P18,control,2,6
P18,control,3,5
P19,bio,0,12
P19,bio,1,13
P19,bio,2,4
P19,bio,3,1
P20,chemical,0,0
P20,chemical,1,0
P20,chemical,2,0
P20,chemical,3,1
P21,control,0,2
P21,control,1,8
P21,control,2,8
P21,control,3,7
P22,bio,0,14
P22,bio,1,5
P22,bio,2,6
P22,bio,3,6
P23,chemical,0,6
P23,chemical,1,5
P23,chemical,2,2
P23,chemical,3,2
P24,control,0,3
P24,control,1,0
P24,control,2,0
P24,control,3,6
P25,bio,0,9
P25,bio,1,2
P25,bio,2,1
P25,bio,3,4
P26,chemical,0,0
P26,chemical,1,10
P26,chemical,2,5
P26,chemical,3,4
P27,control,0,7
P27,control,1,0
P27,control,2,9
P27,control,3,5
P28,bio,0,8
P28,bio,1,5
P28,bio,2,0
P28,bio,3,3
P29,chemical,0,0
P29,chemical,1,3
P29,chemical,2,0
P29,chemical,3,1
P30,control,0,4
P30,control,1,18
P30,control,2,5
P30,control,3,3
P31,bio,0,6
P31,bio,1,9
P31,bio,2,0
P31,bio,3,10
P32,chemical,0,6
P32,chemical,1,4
P32,chemical,2,3
P32,chemical,3,0
P33,control,0,4
P33,control,1,6
P33,control,2,3
P33,control,3,0
P34,bio,0,24
P34,bio,1,11
P34,bio,2,4
P34,bio,3,1
P35,chemical,0,14
P35,chemical,1,2
P35,chemical,2,1
P35,chemical,3,2
P36,control,0,3
P36,control,1,3
P36,control,2,0
P36,control,3,6
P37,bio,0,1
P37,bio,1,9
P37,bio,2,5
P37,bio,3,5
P38,chemical,0,1
P38,chemical,1,1
P38,chemical,2,2
P38,chemical,3,3
P39,control,0,9
P39,control,1,0
P39,control,2,0
P39,control,3,0
P40,bio,0,7
P40,bio,1,7
P40,bio,2,8
P40,bio,3,2
P41,chemical,0,3
P41,chemical,1,6
P41,chemical,2,2
P41,chemical,3,13
P42,control,0,15
P42,control,1,9
P42,control,2,4
P42,control,3,7
P43,bio,0,7
P43,bio,1,2
P43,bio,2,6
P43,bio,3,6
P44,chemical,0,2
P44,chemical,1,4
P44,chemical,2,1
P44,chemical,3,2
P45,control,0,21
P45,control,1,16
P45,control,2,12
P45,control,3,1
P46,bio,0,2
P46,bio,1,10
P46,bio,2,0
P46,bio,3,2
P47,chemical,0,3
P47,chemical,1,6
P47,chemical,2,3
P47,chemical,3,3
P48,control,0,0
P48,control,1,9
P48,control,2,2
P48,control,3,0
