unit,block,dose,response
U01,B1,0,26.505164996536653
U01,B1,10,25.97177509844546
U01,B1,25,34.83542384429441
U01,B1,50,51.74161035807819
U01,B1,100,79.44006180476114
U01,B1,200,82.14707091671406
U02,B2,0,19.945583748215554
U02,B2,10,22.401673096448203
U02,B2,25,36.040255000451566
U02,B2,50,56.81309790122145
U02,B2,100,82.19846794600839
U02,B2,200,82.31786954953898
U03,B3,0,25.43065431673706
U03,B3,10,24.27239511401763
U03,B3,25,32.70632520574331
U03,B3,50,54.176989320664
U03,B3,100,81.1437216768941
U03,B3,200,83.28075722769583
U04,B4,0,22.39693085777489
U04,B4,10,25.491728796428188
U04,B4,25,31.852238215954607
U04,B4,50,52.24892574689418
U04,B4,100,80.82919557254728
U04,B4,200,83.57238567058724
U05,B5,0,21.96641632254168
U05,B5,10,25.575998451905523
U05,B5,25,34.15718886332275
U05,B5,50,54.20885718973891
U05,B5,100,79.8178265182728
U05,B5,200,80.3753038386463
U06,B1,0,23.549717521732063
U06,B1,10,24.545361202074147
U06,B1,25,30.949913273959595
U06,B1,50,57.359074308596185
U06,B1,100,83.63745578539621
U06,B1,200,79.17461306577542
U07,B2,0,16.72979162385178
U07,B2,10,25.503431911489205
U07,B2,25,33.26406220384946
U07,B2,50,51.652069393910615
U07,B2,100,83.2876734343764
U07,B2,200,80.34158205516266
U08,B3,0,18.799791855988527
U08,B3,10,26.785445599288483
U08,B3,25,33.19706115239807
U08,B3,50,55.59832667424733
U08,B3,100,78.08879212106685
U08,B3,200,86.46672271654452
U09,B4,0,24.201292305157992
U09,B4,10,25.857708805756985
U09,B4,25,39.01578452008164
U09,B4,50,54.48012876910318
U09,B4,100,81.53857855060582
U09,B4,200,82.8562043963083
U10,B5,0,24.80266521809149
U10,B5,10,27.827549449764284
U10,B5,25,37.93088202180711
U10,B5,50,55.959654461414615
U10,B5,100,79.78969499123612
U10,B5,200,82.1774365238602
U11,B1,0,20.189998908219295
U11,B1,10,26.23239594160652
U11,B1,25,34.11029526225291
U11,B1,50,52.923331349743876
U11,B1,100,78.35911175701587
U11,B1,200,82.6035556982585
U12,B2,0,21.436617420033325
U12,B2,10,23.255687022576353
U12,B2,25,36.6328203274175
U12,B2,50,56.40594704828864
U12,B2,100,79.59717779271824
U12,B2,200,80.06393098570183
U13,B3,0,23.053053622067203
U13,B3,10,26.575617866818128
U13,B3,25,31.38427320772795
U13,B3,50,56.62983813963994
U13,B3,100,80.57024472020541
U13,B3,200,83.81966848708927
U14,B4,0,23.879784671945828
U14,B4,10,26.362038357666286
U14,B4,25,36.95080427454202
U14,B4,50,57.23562656063879
U14,B4,100,79.85047372608048
U14,B4,200,85.04175407027728
U15,B5,0,17.18421949957898
U15,B5,10,28.61859847427095
U15,B5,25,36.310481497585485
U15,B5,50,53.29593170477002
U15,B5,100,79.9924828210601
U15,B5,200,85.2062314818261
U16,B1,0,21.548520824972073
U16,B1,10,26.394900589807758
U16,B1,25,32.135317404575694
U16,B1,50,52.31383071497384
U16,B1,100,80.12029636243678
U16,B1,200,81.47370238145722
U17,B2,0,21.580979275521994
U17,B2,10,26.422993148768246
U17,B2,25,35.195891407248254
U17,B2,50,57.02076978931182
U17,B2,100,84.29287648368883
U17,B2,200,78.21871809932402
U18,B3,0,23.201623048709056
U18,B3,10,25.537904085429677
U18,B3,25,36.07473366265638
U18,B3,50,50.48415675747664
U18,B3,100,80.68597760671724
U18,B3,200,83.32232871742066
U19,B4,0,24.1792041259751
U19,B4,10,24.27926061551412
U19,B4,25,41.07825164677139
U19,B4,50,60.27736382918991
U19,B4,100,81.99724155350056
U19,B4,200,79.30047328906024
U20,B5,0,24.014771586539137
U20,B5,10,25.902800882131736
U20,B5,25,32.60719874358398
U20,B5,50,50.62133923095055
U20,B5,100,80.17253786487744
U20,B5,200,81.24851276109666
U21,B1,0,23.149792442297723
U21,B1,10,20.777210067133886
U21,B1,25,33.24681079476273
U21,B1,50,54.78265704250694
U21,B1,100,79.96441459032017
U21,B1,200,82.43392280974695
U22,B2,0,18.010792853326016
U22,B2,10,17.65366947951378
U22,B2,25,33.56293129319617
U22,B2,50,52.853327375624666
U22,B2,100,79.45472874924208
U22,B2,200,84.15519469528138
U23,B3,0,22.20478860409512
U23,B3,10,29.744200873706585
U23,B3,25,39.202479033747466
U23,B3,50,60.72575281525298
U23,B3,100,79.70338558541079
U23,B3,200,79.33534476535418
U24,B4,0,28.29786319604885
U24,B4,10,27.021692220784992
U24,B4,25,30.62491508730573
U24,B4,50,52.28579950719645
U24,B4,100,74.29378712619335
U24,B4,200,76.8633329875255
U25,B5,0,19.318621420189466
U25,B5,10,21.235693624303345
U25,B5,25,32.726400787737475
U25,B5,50,50.74200521250089
U25,B5,100,81.80093165504918
U25,B5,200,84.17768148217571
U26,B1,0,23.308130317595054
U26,B1,10,28.274582685155497
U26,B1,25,34.127668364318524
U26,B1,50,57.71382845731096
U26,B1,100,76.27047836666021
U26,B1,200,82.16549249705668
U27,B2,0,17.269652861499914
U27,B2,10,24.537833366740973
U27,B2,25,34.36153599888409
U27,B2,50,58.187808466979895
U27,B2,100,80.78758001763846
U27,B2,200,81.29310946747606
U28,B3,0,20.387935030979218
U28,B3,10,25.278865400662173
U28,B3,25,32.61766516468674
U28,B3,50,54.74874551960107
U28,B3,100,75.77656298787629
U28,B3,200,84.29708695890982
U29,B4,0,20.866370225765614
U29,B4,10,23.59042630433715
