plant,treatment,time,biomass
P01,control,0,-2.136512173869068
P01,control,5,4.5937502538009305
P01,control,10,11.163763138451378
P01,control,15,26.03142924976233
P01,control,20,42.1316529845102
P01,control,25,61.292855103544404
P01,control,30,71.81342670675123
P01,control,35,77.13707664173253
P01,control,40,74.79023864696434
P02,control,0,5.442855014447933
P02,control,5,8.790025609990671
P02,control,10,10.358907808247254
P02,control,15,29.93313696520064
P02,control,20,48.35175839261253
P02,control,25,64.90748462380236
P02,control,30,75.86731255903862
P02,control,35,81.63594465810247
P02,control,40,79.95640872244503
P03,control,0,3.4238140684980465
P03,control,5,3.883765370188322
P03,control,10,8.028032951215165
P03,control,15,28.853685739037697
P03,control,20,44.50164166835351
P03,control,25,59.38176365250151
P03,control,30,71.96558217115273
P03,control,35,71.21048546942264
P03,control,40,76.963989996799
P04,control,0,4.459594523448695
P04,control,5,5.137142856776738
P04,control,10,12.365096447256946
P04,control,15,23.191684954120333
P04,control,20,46.88684583780431
P04,control,25,60.23373233564554
P04,control,30,69.67413655452751
P04,control,35,73.35572523692886
P04,control,40,70.6664328485494
P05,control,0,2.918549947574678
P05,control,5,5.006670689137786
P05,control,10,7.615639446268386
P05,control,15,18.212133368909218
P05,control,20,37.51152250705844
P05,control,25,57.931315400784634
P05,control,30,69.98864858280481
P05,control,35,71.27199202442203
P05,control,40,72.90636071523171
P06,control,0,0.9298880051539808
P06,control,5,10.815025514141137
P06,control,10,18.218285854725767
P06,control,15,36.107528013612786
P06,control,20,52.07874872598906
P06,control,25,64.58629185385232
P06,control,30,68.45178812888817
P06,control,35,74.73939873328878
P06,control,40,73.95952291227717
P07,control,0,7.527659081317156
P07,control,5,16.88560187274937
P07,control,10,30.822468046326136
P07,control,15,49.27474244415633
P07,control,20,62.06983451593597
P07,control,25,73.35111000404152
P07,control,30,80.95740979780989
P07,control,35,81.720706282502
P07,control,40,82.41794802018744
P08,control,0,-0.3197022968759663
P08,control,5,1.9279834300713845
P08,control,10,8.919476435323794
P08,control,15,16.271785346001337
P08,control,20,31.88238504319574
P08,control,25,51.70654273048689
P08,control,30,65.06710026561606
P08,control,35,69.56448581065683
P08,control,40,70.80818171867347
P09,control,0,2.719632596792623
P09,control,5,9.16538768127242
P09,control,10,19.01892980187249
P09,control,15,33.87290578477536
P09,control,20,44.327074316577864
P09,control,25,58.5811896281878
P09,control,30,65.66336156412557
P09,control,35,68.84851062386787
P09,control,40,73.26558751566385
P10,control,0,4.031538306668303
P10,control,5,1.2801133705952537
P10,control,10,7.71978892784211
P10,control,15,25.760771252033916
P10,control,20,43.300220243380664
P10,control,25,62.335902304312434
P10,control,30,67.64479890811467
P10,control,35,72.00282204941192
P10,control,40,72.40366891309434
P11,control,0,-0.08824703701064862
P11,control,5,2.858052510831113
P11,control,10,4.575100475798294
P11,control,15,18.877000456578347
P11,control,20,41.22989501264809
P11,control,25,55.733199780746475
P11,control,30,65.72874620491926
P11,control,35,70.98053993185817
P11,control,40,68.89765469873792
P12,control,0,4.861000579163322
P12,control,5,11.620176411969894
P12,control,10,17.42151609911565
P12,control,15,33.29621087678459
P12,control,20,51.79763735642306
P12,control,25,65.92304334792838
P12,control,30,70.10761502843256
P12,control,35,71.3105937440067
P12,control,40,71.98931825316689
P13,stimulated,0,4.633405335438989
P13,stimulated,5,11.176356939684748
P13,stimulated,10,20.286425370096293
P13,stimulated,15,40.5989879847129
P13,stimulated,20,62.24322094044564
P13,stimulated,25,78.56490205217693
P13,stimulated,30,86.36941931348159
P13,stimulated,35,88.5323755592554
P13,stimulated,40,87.89086389036467
P14,stimulated,0,3.7606772187883792
P14,stimulated,5,8.130825555319856
P14,stimulated,10,13.883773032390064
P14,stimulated,15,33.04258397960856
P14,stimulated,20,50.63986852179627
P14,stimulated,25,63.91178446066298
P14,stimulated,30,73.48761182813719
P14,stimulated,35,78.14399241324817
P14,stimulated,40,79.22735367548866
P15,stimulated,0,2.0135637530326322
P15,stimulated,5,2.523053328435741
P15,stimulated,10,9.681491862905022
P15,stimulated,15,25.41084020804923
P15,stimulated,20,45.96035601543015
P15,stimulated,25,67.23233030552875
P15,stimulated,30,73.14793635252661
P15,stimulated,35,79.51751504253487
P15,stimulated,40,76.29053378428006
P16,stimulated,0,0.019780770350913635
P16,stimulated,5,8.657447821158511
P16,stimulated,10,19.937825245655457
P16,stimulated,15,40.10427545784857
P16,stimulated,20,56.250280940450004
P16,stimulated,25,68.27184867326977
P16,stimulated,30,79.3068066004981
P16,stimulated,35,81.8286783720183
P16,stimulated,40,82.23186970960201
P17,stimulated,0,-1.89494244411569
P17,stimulated,5,2.5235690874781893
P17,stimulated,10,13.564526489631723
P17,stimulated,15,24.09086670102329
P17,stimulated,20,46.37876831354997
P17,stimulated,25,62.64696611943485
P17,stimulated,30,76.82434383759592
P17,stimulated,35,82.21324751427711
P17,stimulated,40,80.28420838708674
P18,stimulated,0,0.9471690490223792
P18,stimulated,5,6.7923467928710455
P18,stimulated,10,13.000006428466225
P18,stimulated,15,28.138092798883502
P18,stimulated,20,46.75945565519452
P18,stimulated,25,62.40509247982828
P18,stimulated,30,72.35169916595359
P18,stimulated,35,80.70221827281992
P18,stimulated,40,78.71388909832612
P19,stimulated,0,2.1676848279810277
P19,stimulated,5,4.342014637302209
P19,stimulated,10,12.719688956939645
P19,stimulated,15,27.145412104970706
P19,stimulated,20,43.21769764920319
P19,stimulated,25,63.61821436432189
P19,stimulated,30,77.55003485171255
P19,stimulated,35,77.00588806865024
P19,stimulated,40,79.90213788505339
P20,stimulated,0,-1.5986005608413745
P20,stimulated,5,5.525576142423886
P20,stimulated,10,12.079347748200927
P20,stimulated,15,32.03393287188583
P20,stimulated,20,47.83427646661874
P20,stimulated,25,61.06614032541557
P20,stimulated,30,66.94567170064686
P20,stimulated,35,76.05103802987202
P20,stimulated,40,75.1849266702507
P21,stimulated,0,4.7007236806535895
P21,stimulated,5,6.153142747535007
P21,stimulated,10,16.26982151766704
P21,stimulated,15,33.9808743500761
P21,stimulated,20,49.85206027532217
P21,stimulated,25,66.46832436844838
P21,stimulated,30,70.544178399724
P21,stimulated,35,75.07857286399143
P21,stimulated,40,73.41736537812596
P22,stimulated,0,2.4084672746339417
P22,stimulated,5,4.272465705949852
P22,stimulated,10,13.119191084241704
P22,stimulated,15,26.98736306073398
P22,stimulated,20,46.35256647398481
P22,stimulated,25,65.99659374207923
P22,stimulated,30,74.92420253133945
P22,stimulated,35,79.99755058146215
P22,stimulated,40,86.58981312371074
P23,stimulated,0,4.873777415772755
P23,stimulated,5,11.383647920608205
P23,stimulated,10,18.036688399284188
P23,stimulated,15,32.65856595817403
P23,stimulated,20,55.60791233199632
P23,stimulated,25,70.52476507481646
P23,stimulated,30,77.75450148897022
P23,stimulated,35,82.75322260253874
P23,stimulated,40,84.89360941426452
P24,stimulated,0,2.601401145848405
P24,stimulated,5,6.59172063370839
P24,stimulated,10,13.42211235696029
P24,stimulated,15,29.411747505793148
P24,stimulated,20,45.537753772529136
P24,stimulated,25,60.644698551391144
P24,stimulated,30,72.44038798473831
P24,stimulated,35,80.6949481086355
P24,stimulated,40,84.63800808993012
