subject,treatment,time,height
S01,T1,0,17.274551132167716
S01,T1,1,17.387203829733398
S01,T1,2,20.558887057309576
S01,T1,3,24.151672009103454
S01,T1,4,26.402118265840638
S01,T1,5,29.130633681618864
S02,T1,0,14.811518659471618
S02,T1,1,16.170788006340043
S02,T1,2,18.84891552038438
S02,T1,3,19.61534059875473
S02,T1,4,19.20347820906473
S02,T1,5,19.817709143604723
S03,T1,0,18.67210600206397
S03,T1,1,19.477700305682404
S03,T1,2,24.78562687157954
S03,T1,3,27.144955841422004
S03,T1,4,29.28881792042482
S03,T1,5,32.02343839691199
S04,T1,0,15.351661187195798
S04,T1,1,18.02838330677339
S04,T1,2,17.166394672600532
S04,T1,3,17.579510489763923
S04,T1,4,22.683772441354527
S04,T1,5,22.26895729167603
S05,T1,0,19.208615337892397
S05,T1,1,20.301440691025228
S05,T1,2,24.33615717293811
S05,T1,3,27.348242532366772
S05,T1,4,30.034564235010095
S05,T1,5,30.703172005295848
S06,T1,0,13.429350123923015
S06,T1,1,15.605528773914045
S06,T1,2,17.248986453198672
S06,T1,3,21.955186871017
S06,T1,4,23.469561820484056
S06,T1,5,25.251347558099894
S07,T1,0,15.971672108880572
S07,T1,1,18.817089352056442
S07,T1,2,20.84867735861989
S07,T1,3,24.175873073985986
S07,T1,4,22.270466393749118
S07,T1,5,23.12967422434742
S08,T1,0,20.626454934169274
S08,T1,1,21.35776938511106
S08,T1,2,21.745994836749585
S08,T1,3,23.06531284829378
S08,T1,4,23.704634079295765
S08,T1,5,25.972705580022954
S09,T1,0,18.254766993795496
S09,T1,1,22.408049533982908
S09,T1,2,23.523556062967675
S09,T1,3,25.571855423727026
S09,T1,4,27.271442604472107
S09,T1,5,30.714840899328067
S10,T1,0,10.335826085265037
S10,T1,1,10.724996693387073
S10,T1,2,13.63807592156528
S10,T1,3,17.553491350103233
S10,T1,4,21.200108193275515
S10,T1,5,21.098087144630775
S11,T1,0,14.368969294588016
S11,T1,1,16.528011656830945
S11,T1,2,17.191176651674652
S11,T1,3,22.64809334201926
S11,T1,4,25.89853502737223
S11,T1,5,28.2116297990457
S12,T1,0,18.401276466626076
S12,T1,1,24.307109655941964
S12,T1,2,24.749192163955623
S12,T1,3,23.879860085839002
S12,T1,4,27.862162762681443
S12,T1,5,30.56055133971002
S13,T1,0,18.49241941648873
S13,T1,1,24.390141845009563
S13,T1,2,26.258097527968836
S13,T1,3,28.830464436124256
S13,T1,4,30.61022611032562
S13,T1,5,32.309428496152705
S14,T1,0,16.955220930619816
S14,T1,1,16.045094434133496
S14,T1,2,15.994564407379961
S14,T1,3,17.993218455372993
S14,T1,4,18.334509050873223
S14,T1,5,20.357037810521398
S15,T1,0,20.740008653535106
S15,T1,1,22.56979200372931
S15,T1,2,22.126034512411483
S15,T1,3,23.71981917570438
S15,T1,4,26.7505035167203
S15,T1,5,31.64573631597472
S16,T2,0,13.70249626121009
S16,T2,1,17.292102105680016
S16,T2,2,19.85069623005383
S16,T2,3,22.417148606860913
S16,T2,4,25.089468607731845
S16,T2,5,27.40336758434843
S17,T2,0,20.158476345312664
S17,T2,1,21.08990421149589
S17,T2,2,22.6839543814306
S17,T2,3,25.53862891309249
S17,T2,4,28.50310524257879
S17,T2,5,33.62370580953134
S18,T2,0,23.01009701598773
S18,T2,1,23.551355335519023
S18,T2,2,25.99173102777394
S18,T2,3,26.951102632525462
S18,T2,4,28.922114903683273
S18,T2,5,31.60399335508821
S19,T2,0,14.456753404259157
S19,T2,1,17.374578164017638
S19,T2,2,20.844670463962593
S19,T2,3,23.30191605716048
S19,T2,4,27.72976113697252
S19,T2,5,27.79960685493538
S20,T2,0,14.369861243329094
S20,T2,1,18.576053615051553
S20,T2,2,19.417425078479837
S20,T2,3,21.102406181497916
S20,T2,4,22.763389188663314
S20,T2,5,26.564539486796914
S21,T2,0,20.3084943223351
S21,T2,1,23.4043450570996
S21,T2,2,26.742369458523182
S21,T2,3,28.50799451085936
S21,T2,4,33.45547859553654
S21,T2,5,33.03128923338006
S22,T2,0,21.32198652194794
S22,T2,1,26.366885553243684
S22,T2,2,29.426260162488205
S22,T2,3,30.354293700667085
S22,T2,4,32.71481998458868
S22,T2,5,36.073183683182656
S23,T2,0,17.988962419962466
S23,T2,1,20.108747706350947
S23,T2,2,22.63286006138076
S23,T2,3,25.92930404787799
S23,T2,4,27.767859928927628
S23,T2,5,31.103113117695433
S24,T2,0,20.978057673995586
S24,T2,1,21.80064562721734
S24,T2,2,25.224133579424837
S24,T2,3,27.882182951380386
S24,T2,4,29.996974128431507
S24,T2,5,35.20568831574901
