environment,rep,genotype,yield
E1,R1,G01,44.74466404341243
E1,R1,G02,45.485182534597485
E1,R1,G03,43.67146060679244
E1,R1,G04,40.75467136127164
E1,R1,G05,34.411934612476244
E1,R1,G06,49.69627506005051
E1,R1,G07,45.26371474230178
E1,R1,G08,48.84905604896222
E1,R1,G09,45.088106446878456
E1,R1,G10,45.2601921150298
E1,R2,G01,47.14380343733156
E1,R2,G02,45.99005148070605
E1,R2,G03,42.12150168608284
E1,R2,G04,42.02975994261427
E1,R2,G05,41.69401649709178
E1,R2,G06,46.004931990638255
E1,R2,G07,42.02725421984953
E1,R2,G08,49.383692975373734
E1,R2,G09,41.674836881687796
E1,R2,G10,42.2616668853657
E1,R3,G01,41.74964331007386
E1,R3,G02,41.02984287013112
E1,R3,G03,42.046703382477396
E1,R3,G04,38.54432535724076
E1,R3,G05,36.423943161541445
E1,R3,G06,42.403674861730174
E1,R3,G07,46.22765451798943
E1,R3,G08,54.51824355464669
E1,R3,G09,44.799286645945465
E1,R3,G10,40.184112955842906
E2,R1,G01,46.39420644703572
E2,R1,G02,52.814639115537915
E2,R1,G03,53.82198394571537
E2,R1,G04,41.1466898515472
E2,R1,G05,46.535696233581994
E2,R1,G06,48.22830911059483
E2,R1,G07,44.49087582619145
E2,R1,G08,57.34141536913186
E2,R1,G09,45.6693621447068
E2,R1,G10,48.63541066904628
E2,R2,G01,54.17989365269898
E2,R2,G02,49.6588523770997
E2,R2,G03,47.61383539147999
E2,R2,G04,52.60148245218947
E2,R2,G05,44.546783764347666
E2,R2,G06,54.020101895437165
E2,R2,G07,52.34586398802999
E2,R2,G08,54.43109659052324
E2,R2,G09,51.41433913586698
E2,R2,G10,50.19644954874105
E2,R3,G01,46.94040634824616
E2,R3,G02,45.58156101256883
E2,R3,G03,52.824210881649755
E2,R3,G04,39.6652975637711
E2,R3,G05,42.75293595907818
E2,R3,G06,52.0772123153258
E2,R3,G07,44.81247176420126
E2,R3,G08,57.09038721760368
E2,R3,G09,48.87049153288492
E2,R3,G10,44.523733754066406
E3,R1,G01,49.27842240893244
E3,R1,G02,57.221764536803285
E3,R1,G03,49.067882031908155
E3,R1,G04,43.58963070177201
E3,R1,G05,48.89485454556761
E3,R1,G06,53.451852032118865
E3,R1,G07,54.074501309552915
E3,R1,G08,62.97657966080095
E3,R1,G09,50.3296778336138
E3,R1,G10,50.09080900908206
E3,R2,G01,51.12153078084534
E3,R2,G02,49.28034812782632
E3,R2,G03,53.006874482550536
E3,R2,G04,48.964505318715375
E3,R2,G05,52.68213912084001
E3,R2,G06,54.86863131838517
E3,R2,G07,58.60691963207049
E3,R2,G08,60.519282805979266
E3,R2,G09,50.82701141305648
E3,R2,G10,46.03563819959639
E3,R3,G01,57.41802178154692
E3,R3,G02,55.676288684101756
E3,R3,G03,54.93514652130325
E3,R3,G04,51.79522207698228
E3,R3,G05,53.1059485985746
E3,R3,G06,54.681938922555815
E3,R3,G07,55.89201788790227
E3,R3,G08,61.66919346211704
E3,R3,G09,54.979383350443264
E3,R3,G10,52.732781101066436
E4,R1,G01,52.09671153711906
E4,R1,G02,60.27337985710918
E4,R1,G03,58.54114538732978
E4,R1,G04,53.274739429901295
E4,R1,G05,51.409238704319414
E4,R1,G06,52.13133121951793
E4,R1,G07,57.57528809778312
E4,R1,G08,65.28747838536816
E4,R1,G09,56.016173591773274
E4,R1,G10,56.53856288027481
E4,R2,G01,51.64245486359445
E4,R2,G02,58.316648906154796
E4,R2,G03,58.6589735813834
E4,R2,G04,51.1407453165016
E4,R2,G05,56.45255712681704
E4,R2,G06,58.56606537960687
E4,R2,G07,56.56011306696527
E4,R2,G08,63.649062775114075
E4,R2,G09,57.542558940580925
E4,R2,G10,59.75114232014251
E4,R3,G01,53.76285163142539
E4,R3,G02,55.23396008577065
E4,R3,G03,55.63928685824442
E4,R3,G04,47.18909363413229
E4,R3,G05,47.58275782979416
E4,R3,G06,59.46768117672056
E4,R3,G07,56.01304298734847
E4,R3,G08,60.17093933951837
E4,R3,G09,56.66873366844068
E4,R3,G10,53.5554501422698
