row,col,block,genotype,yield
1,1,B1,G01,73.66958385910638
1,2,B1,G02,56.49528314663466
1,3,B1,G03,73.13839842974325
1,4,B1,G04,67.46671137522138
1,5,B1,G05,67.64908401607696
1,6,B1,G06,73.50993549629682
1,7,B1,G07,76.66741062170608
1,8,B1,G08,72.83533258534315
1,9,B1,G09,69.19989870669558
1,10,B1,G10,71.06103596701752
1,11,B1,G11,63.489283460771794
1,12,B1,G12,70.32921176567521
1,13,B1,G01,71.9192955316265
1,14,B1,G02,60.20224381588541
1,15,B1,G03,73.63922063382205
1,16,B1,G04,68.3073718224059
1,17,B1,G05,68.92850454054714
1,18,B1,G06,70.42491271200252
2,1,B1,G07,73.3541656450497
2,2,B1,G08,68.40804309544289
2,3,B1,G09,67.72670364316065
2,4,B1,G10,68.84615203596125
2,5,B1,G11,61.66921878662611
2,6,B1,G12,70.73540595750363
2,7,B1,G01,74.69395677654448
2,8,B1,G02,63.174384365235824
2,9,B1,G03,73.51880342013924
2,10,B1,G04,67.730240269767
2,11,B1,G05,66.95354228067114
2,12,B1,G06,71.84585679043344
2,13,B1,G07,72.2654027116005
2,14,B1,G08,64.9720078374058
2,15,B1,G09,66.74984079161412
2,16,B1,G10,65.90963153750795
2,17,B1,G11,62.32024208154541
2,18,B1,G12,71.74274934927176
3,1,B1,G01,70.08438549418504
3,2,B1,G02,60.269178819635364
3,3,B1,G03,69.7217674938829
3,4,B1,G04,68.21072344576055
3,5,B1,G05,66.53307803875062
3,6,B1,G06,70.553968088376
3,7,B1,G07,74.79529651555171
3,8,B1,G08,69.09544346490796
3,9,B1,G09,72.85064354022737
3,10,B1,G10,65.31762215466432
3,11,B1,G11,63.21120679678628
3,12,B1,G12,70.17651034698197
3,13,B1,G01,71.81545997173725
3,14,B1,G02,56.9381530852818
3,15,B1,G03,71.64711161537954
3,16,B1,G04,65.23821224417732
3,17,B1,G05,63.43072350297573
3,18,B1,G06,72.75803519757642
4,1,B1,G07,71.98347983368679
4,2,B1,G08,71.0389310518286
4,3,B1,G09,69.95088938268208
4,4,B1,G10,68.72444995296547
4,5,B1,G11,64.63194615248145
4,6,B1,G12,70.19112644427706
4,7,B1,G01,72.03991364565579
4,8,B1,G02,57.99219487174212
4,9,B1,G03,69.75973265530284
4,10,B1,G04,67.40702218143291
4,11,B1,G05,64.29199905450363
4,12,B1,G06,69.69957800388717
4,13,B1,G07,70.10090313943569
4,14,B1,G08,65.95507333114615
4,15,B1,G09,72.1149467303232
4,16,B1,G10,65.11254102653942
4,17,B1,G11,57.857730342876245
4,18,B1,G12,67.13747058162174
5,1,B2,G01,72.35926018197357
