block,variety,nitrogen,yield
B1,V1,0,53.92578920674718
B1,V1,50,62.241953535038256
B1,V1,100,69.33040697998815
B1,V1,150,71.76092414711326
B1,V2,0,59.14011742577
B1,V2,50,63.76755050841153
B1,V2,100,70.00530914296958
B1,V2,150,74.42650499738271
B1,V3,0,50.053107097328095
B1,V3,50,56.00414959225048
B1,V3,100,62.43107649770529
B1,V3,150,66.58336907474593
B2,V1,0,45.700595912325696
B2,V1,50,55.162302886933155
B2,V1,100,59.35006363537126
B2,V1,150,63.308194976089965
B2,V2,0,48.51856742489551
B2,V2,50,55.29892954298248
B2,V2,100,61.99230080714625
B2,V2,150,62.65890486689491
B2,V3,0,44.651931986617356
B2,V3,50,51.92025285308189
B2,V3,100,53.79430994321306
B2,V3,150,56.12461665167234
B3,V1,0,48.88075291776606
B3,V1,50,56.15151905427056
B3,V1,100,62.37387690660122
B3,V1,150,64.11556011199184
B3,V2,0,53.402098613653294
B3,V2,50,62.94628089766837
B3,V2,100,67.85640981713046
B3,V2,150,68.39997496089637
B3,V3,0,45.81636955033723
B3,V3,50,62.271620844576184
B3,V3,100,59.95083907174444
B3,V3,150,61.973897249586756
B4,V1,0,49.58284355968842
B4,V1,50,56.287024267558536
B4,V1,100,59.92223148655016
B4,V1,150,62.4099436692376
B4,V2,0,52.1380207348618
B4,V2,50,59.99778004823358
B4,V2,100,65.44894615370069
B4,V2,150,60.7507317766205
B4,V3,0,46.02847065856891
B4,V3,50,50.00225457557393
B4,V3,100,52.16058638690725
B4,V3,150,60.43071987419446
B5,V1,0,47.73264612500596
B5,V1,50,54.57503844911385
B5,V1,100,59.24735181756882
B5,V1,150,62.56960854639551
B5,V2,0,59.421630427063
B5,V2,50,64.8454428510526
B5,V2,100,67.146366462105
B5,V2,150,72.49357885333765
B5,V3,0,46.44361053248766
B5,V3,50,51.3052205983654
B5,V3,100,57.39506116787028
B5,V3,150,64.24017297438729
B6,V1,0,50.922945143002785
B6,V1,50,55.8981399897477
B6,V1,100,58.99532385637414
B6,V1,150,61.139457985373234
B6,V2,0,54.98553121156168
B6,V2,50,62.192562965558594
B6,V2,100,70.37088826129414
B6,V2,150,73.13853116758494
B6,V3,0,50.08504727627359
B6,V3,50,57.253144803952644
B6,V3,100,58.2074573759684
B6,V3,150,57.67182227530282
